留言內容,llm分數,llm判定
沒有app每次都要自己去看有沒有激起打折麻煩,0.0,中性
好吃 但吃完口很渴,0.25,正向
竟然才89 看這賣相在另外兩家可能會賣到99或109,0.25,正向
手機爛也要懂自動開圖 答應我好嗎,0.0,中性
app真的爛,0.0,中性
"萊真的覺得有想做的感覺了!以同樣光泉豆漿,統一效期最長,十瓶199,全家錢少一點,萊效期短一點,用iPM硬是149,鮮食也便宜但同樣的東西,用不同界面,竟然iPM也變得不能結,真的很神奇!還有這個惜福食堂是不是沒有上網啊?而且貼紙也沒很明顯,否則搭1700真的很有戰鬥力!再來-4有開心卡,我家最近靠iPM存錢包,這萊要不要發行個卡,來讓大家用一用簽到金的產品?其實跟著兩大,加日韓的方式突圍就好,不要搞一些怪怪的東西!",0.25,正向
好吃!,0.8,正向
海鮮炒麵、香腸滷肉飯跟有貢丸那款湯麵是偶會買的款項其餘是最近的雞肉絲飯以及高麗菜飯(排骨),0.2,中性
幫PO本文照片https://i.urusai.cc/Kuf4v.jpg,0.0,中性
萊爾富最近真的是很積極在推有創意的新品 我有時候去wg運動完會買來吃吃 大部分不錯,0.35,正向
"這蝦子看起來比較大,對比是我常買小七的奶油蝦仁通心麵。",0.25,正向
這個很好吃,0.8,正向
"這款真的好吃,如果有遇到5點後打折更是馬上掃掉",0.7,正向
不過 最近網路推萊的力道之大..,0.0,中性
"這款真的好吃,超推",0.85,正向
"如果飯糰、三明治搭飲料全天候55,絕對可以打趴7-11和全家但就寧可要賺那66",0.0,中性
萊的蝦仁是有蝦味的這點有驚艷到,0.55,正向
這款真的好吃 讚,0.85,正向
但萊爾富鮮食變好吃滿有感是真的,0.4,正向
照片怎麼了啦,0.0,中性
好吃!!,0.8,正向
好吃 推推,0.8,正向
現在是不是要考慮轉戰萊爾富,0.1,中性
看來以後吃飯可以多去看看萊爾富,0.1,中性
萊爾富的三角飯糰滿好吃的,0.4,正向
"謝推,的確不錯吃",0.45,正向
感覺很好吃!謝謝推薦,0.35,正向
萊爾富便宜沒錯 不過我還是會選全家咖啡,0.0,中性
據網路傳言是說 換老闆後 現在的老闆會真的去買鮮食來吃 然後反饋,0.0,中性
我也是看到上面同一篇文 然後找到推薦的台式炒麵的XD,0.0,中性
萊爾富乞丐時光是不是不能用app查,0.0,中性
包裝需要下點巧思不然有的包裝真的很沒食慾也沒有購買意願這樣很容易錯過,-0.25,負向
還以為杯子蛋糕裡怎麼還包了紅豆餡跟草莓XD,0.0,中性
混入一顆大福,0.0,中性
紙都要咬乾淨剩皮吐出來XD,0.0,中性
以為裡面包香腸,0.0,中性
"醬感覺更偏優格醬,然後裡面的水果吃起來都是罐頭感",-0.2,中性
黃桃水蜜桃罐頭很多來自西班牙以前家樂福很多歐洲產的果醬,0.0,中性
我還是繼續乖乖吃起司三重奏,-0.25,負向
成本有沒有10元的東西賣65,-0.4,負向
笑死 給你10元也要做的出來,0.0,中性
"吐司一片自己買頂多3塊,脂肪抹醬那一點又沒幾塊,這也不是頂級吐司醬也不是鮮奶油,就都便宜的東西組成的,最貴就那水果結果也是最便宜常見的水蜜桃鳳梨罐頭,自己做食材都不用15塊,廠商做也不需要花到10塊吧不知道現在人真的都只會無腦超商還是怎樣,吃米都不知道米價,這劣質的商品也能賣到65漲價怪政府結果不怪廠商吃相難看",-0.8,負向
"按你說的一片三元來算 這上面就兩片六元 剩下四元 放鮮奶油+水果 還有組裝人力、貨運、門市毛利、廠商毛利、超商毛利,便利商店從來都不是便宜商店,你要便利就是要付出成本,售價不適合 久了他自然就下架被淘汰",0.0,中性
有本事就自己做啦 話說這成分表太少了吧 484偷工減料 (X),-0.15,中性
"如果吃起來罐頭感那就滅火了,太盤",-0.65,負向
"葡萄款就是新鮮葡萄,清爽可以平衡鮮奶油的膩",0.3,正向
50元買便利 看個人覺得划不划算而已,0.0,中性
看起來有點像罐頭水蜜桃,-0.1,中性
"感覺葡萄不錯,但這價格只能等i珍食再買了",0.2,中性
"這我吃不太出來有檸檬酸味,但夏天吃算清爽",0.25,正向
這價格還是罐頭感水果 好滅火...,-0.55,負向
"今天吃了葡萄款奶油香對這款比較沒那麼清爽,會膩",-0.35,負向
"我覺得很好吃耶,好像吃生日蛋糕的感覺",0.7,正向
超商本來就是賣方便不是賣便宜的地方好嗎...,0.0,中性
很鹹,-0.3,負向
(′・ω・‵) 沒圖喔,0.0,中性
有點硬,-0.25,負向
不用附圖啦 真的難吃,-0.85,負向
這評分也太慘了點XDDD,-0.25,負向
期待落空的分數也算上去了吧,-0.3,負向
覺得捲起來反而不好吃 不知道為何而捲,-0.55,負向
就一種利用消費者心態的手法而已你看原PO不就以為有新花樣買了嗎?為何而捲就為了這個啊,-0.3,負向
不能只有我吃到,-0.55,負向
附圖一下啦,0.0,中性
我買的48g40元,0.0,中性
爆脆為什麼會聯想到爆漿 不然看一下成分表也知道吧,0.0,中性
這個超雷的,-0.85,負向
真的很空虛,-0.65,負向
大賣場超市也有賣 不便宜同價格可以買更大包的多力多滋,-0.35,負向
最近一直被推播 謝謝避雷,-0.55,負向
優點:更好取出 缺點:咬起來變硬,-0.2,中性
新產品這樣直接變成話匣子低配版,-0.45,負向
這評分也太慘 本來有點心動哈哈,-0.25,負向
那盒子輕的要命 感覺超盤,-0.6,負向
普通的比較好吃,-0.35,負向
第一次看到這麼低的笑死,-0.2,中性
"我蠻喜歡的,吃起來有不同口感",0.5,正向
感覺不錯哦! 3Q,0.3,正向
吃了桃子塔 有點甜 桃子好吃,0.35,正向
桃子系列的都還不錯,0.45,正向
這個我覺得蠻好吃的,0.55,正向
味道不錯,0.45,正向
好吃 而且熱量意外很低,0.7,正向
謝謝分享~,0.0,中性
桃子好吃~,0.6,正向
麵條感覺很Q~下次會考慮買來吃吃看,0.35,正向
麵條Q 但滿鹹的 對不吃辣的人會覺得辣,0.1,中性
肉沬有些硬塊/?半顆蛋?,-0.15,中性
日本人會吃油蔥?,0.0,中性
有硬塊表示 應該 不是好的肉質,-0.25,負向
看照片感覺還不錯~會想邊吃邊配茶 應該不賴,0.35,正向
品名寫玉子結果放1/4蛋好意思嗎==,-0.45,負向
全家偷工日常不意外...XD,-0.45,負向
看起來不錯耶,0.35,正向
豆皮比那塊排骨還好吃,0.0,中性
隔壁買茶葉蛋代替一下滷蛋,0.0,中性
"跟二樓感想一樣,豆皮最好吃。然後排骨很薄...",-0.15,中性
排骨會柴嗎 最近台鐵的吃起來很柴 沒以前好吃了,0.0,中性
吃過 排骨不柴,0.3,正向
"會柴的其實是大裡肌,並不是排骨肉",0.0,中性
照片裡的排骨看起來不錯~有入味的感覺,0.35,正向
"這個很好吃,真的有種台鐵便當的感覺",0.65,正向
缺點就是沒有滷蛋QQ 只好買福隆便當去,-0.15,中性
吃完覺得蠻鹹的,-0.25,負向
沒有滷蛋 就是 本來還可以開獎是半顆還是整顆蛋 變成直接就没有中獎,-0.2,中性
這個真的蠻好吃的 有台鐵便當的感覺,0.65,正向
看起來像鐵路便當 好像不錯,0.3,正向
不錯吃 但配菜太少,0.15,中性
豆皮好吃,0.45,正向
看起來不錯~~排骨有胡椒嗎 會不會辣,0.2,中性
豆皮看起來很好吃!,0.3,正向
排骨不會辣的 帶點甜,0.1,中性
看起來有鐵路便當的感覺欸,0.25,正向
"兩個口味日常喝沒什麼問題,問題是太貴,這波買一送一應該是消庫存",0.0,中性
"個人倒覺得不錯,無糖,不想喝白開水時加一點",0.35,正向
"有買過,也是搭配買一送一買的 解膩還不錯",0.35,正向
請問這有沒有咖啡因?,0.0,中性
印象中應該是沒有咖啡因~如果有看到再幫你確認,0.0,中性
看了一下成分就覺得不會好喝到哪去,-0.35,負向
這成分感覺走養生路線 喜歡無糖的人可能比較能接受,0.1,中性
"和義美花生牛奶比,兩個我都愛",0.55,正向
下一篇藍莓可可小吐司請準備,0.0,中性
這好吃欸!!,0.8,正向
想知道花生跟牛奶哪個味道比較重,0.0,中性
好奇+1,0.0,中性
好吃 花生味跟奶味都蠻濃的 大小適中不會偏小 用優惠券很OK,0.65,正向
謝謝分享之後來去買,0.15,中性
我也覺得花生味比較重 很喜歡,0.6,正向
花生味+1,0.2,中性
今天吃花生味重 有+花生角 好吃+1,0.7,正向
今天吃了 覺得買一送一可以買 但原價就...比較喜歡原味本鋪的花生牛奶 不過這款比較小枝,0.15,中性
聽說產地......,-0.1,中性
不是 你正山小種不從中國來要從哪來,0.0,中性
另一款是龍井 可能某些人會覺得是台中龍井吧^^,0.0,中性
嘖嘖不買拉倒齁~連產地也能鬧爭議&扯敏感議題理解不能!=,0.0,中性
背後就有寫啦 我是不car,0.0,中性
420cc好少 差評,-0.35,負向
主要是價格高又小罐 買不下手,-0.35,負向
你要被青鳥攻擊了,0.0,中性
就中國茶 反正產地有標明就好 口味合不合是後話話說在中國很難買到無糖瓶裝茶 當時都喝農夫山泉比康師傅的好喝很多,0.0,中性
我買了茉莉龍井 可惡 不好喝 很不怎麼樣的無糖茶,-0.65,負向
身在茶葉王國 除了嚐鮮 的確是沒什麼理由喝中國茶,-0.2,中性
有標清楚隨意 反正很多飲料店也不一定都台灣茶葉,0.0,中性
味道 調好了:),0.0,中性
貴是真的貴 比手搖還貴,-0.35,負向
他們遇到中國什麼都能反 但陸劇陸綜卻看得很開心 不會覺得矛盾嗎既然都有人嚐鮮過那就放過它吧,0.0,中性
炒作產地的 是不是真的被活摘了,0.0,中性
"產對標正確沒問題,只是太貴了比那些XX地進口,台灣分裝標台灣產的好就是",-0.25,負向
支那茶,-0.2,中性
看到也買了一罐,0.0,中性
產地支那so what?有任何不爽的歡迎跟統一投訴靠杯齁呵呵,0.0,中性
https://i.mopix.cc/5irugq.jpg,0.0,中性
剛在小七看母子討論這款茶哈哈(鋪貨很多)茶飲這麼多何喝中國茶,-0.15,中性
東京很熱茶包含稅,0.0,中性
"其他不說,正山小種一直都是中國茶...在英國買也是中國茶",0.0,中性
"這裡不是政治版好嗎,拜託",0.0,中性
茉莉龍井我覺得不錯啊不知道有沒有優惠活動,0.35,正向
我買的時候有問店員她說下週才有2瓶優惠,0.0,中性
謝謝,0.0,中性
支吹什麼都能吹 吹不出來就幫人家帶帽子:),0.0,中性
"笑死https://i.mopix.cc/WpPIfC.jpg問ai口味和原po敘述的一樣啊本來沒興趣,早餐就去買來喝喝看",0.25,正向
"越看越有興趣,去買來喝看看",0.25,正向
比起越南茶混台茶還得名 至少誠實標,0.0,中性
"翻了幾篇葉佩雯新聞,連完全沒寫到產地哪來的",0.0,中性
正山小種本來就難喝所以日月潭的紅玉直接輾過去,-0.45,負向
龍井很像御茶園之前的小罐綠茶,0.0,中性
我個人覺得不錯喝,0.45,正向
之前去福建玩買一包當地武夷山茶葉喝是真的好喝,0.25,正向
有人提醒產地也不錯啊 畢竟包裝上真的很難辨識也不是所有人都會記茶葉產區品種,0.0,中性
"如果喝不慣煙燻味,另一款茉莉龍井比較大眾口味,花香味滿清爽的",0.35,正向
"為什麼一定要捧中國茶,難喝就難喝,還不讓說",-0.55,負向
好喝 讚,0.75,正向
喝過了還好,-0.1,中性
我也是喜歡那個茉莉茶香味 會回購,0.55,正向
正山小,0.0,中性
正山小種那個松木煙燻味很看人喝 XD 台灣好像沒人出過這種口味 滿大膽的嘗試,0.25,正向
台灣茶不喝 喝中國茶 ㄏ,-0.35,負向
茉莉龍井可能比較適合你,0.0,中性
"茶的喜好每個都不同,黃茶 黑茶,大多人就不愛但喜歡的就會非常的愛喝",0.0,中性
喝個好茶都要逼人選邊站 台灣怎麼變成這個樣子,0.0,中性
"本來就是正宗原產地的標示,在意的人就避開",0.0,中性
"不愛烏梅跟煙燻味,Pass",-0.35,負向
尚可 當成無糖的烏梅紅茶(?) 但大陸茶有更好喝的..,0.1,中性
看這整篇有人能解讀成中國茶難喝還不讓說也是頂級理解+扣帽子,0.0,中性
阿智:你要被青鳥攻擊了,0.0,中性
"統一中國的飲料其實比其他家都好喝,之前外派除了王老吉外只喝統一的",0.3,正向
喝了 有一種龍眼乾的香氣 還不錯,0.45,正向
像烏梅汁感覺好可怕,-0.25,負向
"反正有揭露產地,要不要喝自己決定,也不用貼標籤很無聊",0.0,中性
這款的確不好喝,-0.65,負向
wwwww正三小 哈哈哈哈,0.0,中性
"沒辦法,有些易燃的一看到關鍵字就容易心態炸裂",0.0,中性
這罐他媽的有夠難喝,-0.9,負向
台灣茶飲功力很強 不輸日本進口茶這瓶貴又普,-0.25,負向
兩件59已回購 清爽解膩讚,0.65,正向
御茶園茶王 原萃冷萃屌打這瓶,-0.55,負向
喜歡他的瓶子,0.0,中性
中國茶,0.0,中性
某c臭名遠播網軍分身對中國茶有啥意見?有種投訴統一呵呵,0.0,中性
龍井不錯 正山小種不愛,-0.15,中性
"超難喝...當時沒看到是中國產,喝1口後實在難以下嚥,全部倒掉了。",-0.95,負向
"沒真正正山小種味,還不如農夫山泉茉莉也不行",-0.45,負向
超難喝 要桂圓味我直接買桂圓茶就好煙燻味這麼重完全沒茶味了茉莉龍井也很水,-0.9,負向
那希望統一進一下農夫山泉喔,0.0,中性
"耶里吃到怕了,這個比較好吃嗎?",0.0,中性
2月的產品現在才在po..說不定都停產了,0.0,中性
全聯的好吃 缺點是太小了會吃不飽XD,0.0,中性
"我也是吃小七的覺得不錯,然後看到全聯有吃了全聯的",0.35,正向
全聯的比較好吃,-0.3,負向
架上還有賣~覺得丹麥類都蠻好吃,0.45,正向
目前都還有 算是常駐型產品吧?,0.0,中性
我也覺得全聯的比較好吃,-0.25,負向
2樓怎麼不先去確認停產沒再罵...,0.0,中性
"我今天早餐吃這個,很好吃",0.75,正向
這個我喜歡小七的,0.5,正向
全聯好吃,-0.25,負向
全聯的好吃,-0.25,負向
囤幾片了,0.15,中性
大大大,0.0,中性
"這間,台北市八德路也有不難吃,cvs的缺點就是層層加價...雖說是賣一個方便,但是找個東西加價賣,冠名賣,聯名賣...物品本身的cp就往下掉了,白話就是不難吃,但是不會加錢買一個普通的食物",-0.15,中性
買二送一優惠剛過 不考慮,0.0,中性
"我也屯一組,後面都買不到這個真的很大片,六十多塊特價很值原價當然是買現炸",0.45,正向
上週省錢板有看到買二送一搭配優惠券活動 買了10片 氣炸覺得不錯吃,0.5,正向
三塊200的樣子,0.0,中性
這東西之前冷凍好像賣69?換個名字,0.0,中性
"05/10日促銷買是3片137元,3片198元誰要買.....",-0.35,負向
"圖方便可以,但價格我還是選擇外面現炸",-0.25,負向
"很大片耶,趁特價可以買",0.35,正向
特價好像可以買一下試試,0.25,正向
剛吃了聯名的手卷還不錯 爆炒雞丁還沒試,0.25,正向
"滿大片的,其實特價買嘴饞吃一下可以",0.25,正向
沒有氣炸鍋,0.0,中性
沒氣炸鍋就去買阿沒錢逆?=,0.0,中性
"還行啦,略油但口味標準有到,大半夜氣炸一下算方便",0.25,正向
"好心人,還給70分",-0.25,負向
如果是真正鐵板燒的鹹度 那應該配得完飯,0.0,中性
"肉是真的很少,醬汁很鹹",-0.55,負向
吃粗飽的 我第一次吃覺得還可以 第二次買就吃不完,-0.15,中性
這個不錯吃 比炒麵好吃,0.5,正向
會不會直接去吃大埔還比較划算XDD,-0.1,中性
"這個飯至少有肉,鐵板麵只有麵還開99元真的很敢",0.1,中性
"我覺得狠飽系列真的都失敗品QQ~這款我也很不行,鐵板麵那款更是連試都不想試以它打著大埔鐵板燒來說,味道甚至香氣整個都失敗",-0.8,負向
鐵板炒麵真的很鹹,-0.3,負向
"狠飽系列好像都不是在強調好吃這件事,問題是份量也沒真的多到驚艷,只有價格很敢開",-0.55,負向
app搶6折券買到 肉幾塊很少 味道很重,-0.35,負向
對~一般燴飯也容易找到重量比狠飽重的,0.0,中性
"搶到6折劵、友善時光買的話還不錯,原價就盤",0.1,中性
"炒麵不用試,只有青菜跟麵而已很空虛",-0.55,負向
醬香其實蠻有那個鐵板燒感的,0.35,正向
狠飽最早的義大利麵比小七現在的雙醬好吃,0.0,中性
最還原的部分應該是包裝上的包手,0.0,中性
看起來還行 炒菜感覺有點敷衍,0.1,中性
少了豆芽菜 就是不完整,-0.1,中性
"肉量很少,而且有一股奇怪的味道",-0.65,負向
"的確略貴,量也少少,飯也不給多一點,但不錯吃~",0.15,中性
寬粉還沒人評,0.0,中性
還可以接受,0.2,中性
i珍食的價格算可以接受,0.15,中性
名稱好長,0.0,中性
這罐真的是垃圾食物,-0.85,負向
袋裝+罐裝? 太嬌貴了吧,-0.2,中性
吃造型的,0.0,中性
多了一道捲起來的手續費,-0.3,負向
名字太長了,0.0,中性
全聯有類似樂連連那樣的盒裝 不過內容物基本是一樣的長卷形狀比較好入口 但是真的好少...我應該也不會重購吧,-0.35,負向
"前幾天買的時候以為像品客一樣,打開後發現居然用這種包裝方式!?不如用紙帶裝還能減少垃圾量...,量對比價錢很不划算",-0.65,負向
(′・ω・‵) 過分包裝嗎,-0.25,負向
那幹嘛不袋裝就好XD,-0.2,中性
名字長到看不出什麼口味,0.0,中性
10分也太慘哈哈哈,-0.25,負向
包裝也太多層...,-0.25,負向
"這份量,做小小的隨手包不是很好嗎?",-0.25,負向
這包裝也太多,-0.25,負向
名字好長+1,0.0,中性
吃過餅乾很硬,-0.35,負向
好貴,-0.25,負向
https://i.mopix.cc/VmrKGt.jpg,0.0,中性
"不是看起來就兩片肉而已(我甚至只看到皮),這樣幹嘛不去買一整隻烤鴨吃到爽",-0.55,負向
三角飯糰45塊肉量不到十公克根本笑死人==,-0.75,負向
我甚至沒看到鴨肉 第二次看才發現有鴨肉,-0.45,負向
至少鴨肉比甜麵醬多XD,-0.15,中性
差點買飯糰,-0.2,中性
"捲餅蛋白質9.8g就知道肉量很少,謝謝幫我省錢",-0.65,負向
只看到肉 沒吃到肉的感覺 可能吐司條太搶戲 而且好鹹,-0.45,負向
我覺得鴨肉很少欸,-0.45,負向
"肉很少,但是味道剛好,醬夠多,好吃",0.25,正向
最近一直去找都沒找到欸,0.0,中性
鴨肉超少都在吃醬跟炸吐司,-0.6,負向
味道還可以 但是肉真的好少,0.0,中性
"捲餅味道是可以啦~飯糰就算了,是真的幾乎都飯沒什麼肉,整個京醬肉絲的味道都被飯蓋掉捲餅就肉再多點會很不錯",0.1,中性
肉好少喔,-0.45,負向
"今天吃了覺得蠻好吃的,會想回購",0.6,正向
才60??感恩滅火!!,-0.55,負向
覺得鴨肉捲餅好吃,0.55,正向
想吃捲餅,0.3,正向
"不推捲餅,真的沒加熱,冷冷的,也沒什麼肉,吃完很空虛",-0.8,負向
捲餅還OK,0.2,中性
肉超少的,-0.45,負向
覺得捲餅醬太多蠻鹹的,-0.3,負向
不會烙賽的早餐大冰奶沒有喝的必要,-0.2,中性
喝起來有種羊奶味 超怪 而且很不甜,-0.65,負向
"沒事不要買聯名,高機率都比原本的難喝",-0.55,負向
這種東西35?...噗哧,-0.4,負向
喝了不會烙賽的我可不要喔,-0.2,中性
還好看到避雷了,-0.55,負向
怎麼會覺得和早餐店喝的一樣?,-0.25,負向
"早餐店奶茶又不是手工熬煮,就大量化學原料調出來的,怎麼會覺得聯名很難復刻?",0.0,中性
https://i.verb.tw/sT1HvZ4o.jpg想到以前喝過的鐵罐早餐店奶茶,0.0,中性
"到處都是早餐店,不需要聯名吧",-0.25,負向
感謝避雷,-0.55,負向
賣的比原版貴...,-0.35,負向
這價格也太貴,-0.35,負向
這是化工奶茶吧,-0.45,負向
"比較難喝,還賣得比較貴,很厲害",-0.8,負向
為何不直接去早餐店買奶茶?,-0.25,負向
超噁 喝一口馬上整罐倒掉,-0.95,負向
"買一次整個後悔,早餐店的還比較好吃,完全沒有復刻到",-0.85,負向
"先跟各位說,這款我喝了沒烙賽,明顯血統不純",-0.4,負向
看到美而美很想喝 但沒想到評價這麼低,-0.25,負向
超不早餐店的,-0.55,負向
很多餐廳都會給 每次都偷拿好幾顆,0.2,中性
確實 我運動的時候都帶這個,0.35,正向
這個好吃 很喜歡,0.7,正向
"這個不錯,小孩很喜歡吃",0.5,正向
這個我都直接去好市多買一大桶 不知道原來7-11有賣,0.0,中性
這很好吃!,0.8,正向
我吃過沙士口味的也很好吃,0.4,正向
爬山也適合,0.2,中性
"這個滿好吃的,之前都吃沒有薄荷的口味,吃到這款才知道檸檬鹽糖跟薄荷也很配",0.65,正向
這牌好吃,0.6,正向
很喜歡這個牌子的味道 之前常買 但因為一段時間沒買包裝又都長很像忘記到底是哪牌 感謝原PO喚醒我的記憶XD,0.45,正向
吃過覺得好吃,0.65,正向
"我有突發奇想拿去冰冷凍過,跟冷藏不一樣的口感,不過也很特別",0.35,正向
"哈,這種加糖的咖啡喝起來大概就那個樣,已經不會有想要嚐鮮的慾望了XD",-0.15,中性
哈哈哈,0.0,中性
美式是茶加咖啡嗎?,0.0,中性
改名薑茶拿鐵比較符合,-0.25,負向
小七的味道比較泰奶 全家很像一般奶茶 不難吃 但以泰奶口味來比 小七勝https://i.imgur.com/MtgWg02.jpeg拿到反射動作先吃一口 才補拍照XD,-0.2,中性
今天全家人手一支,0.0,中性
"加盟店一堆擠的小不拉機,搞得都不想去買",-0.45,負向
https://i.verb.tw/po2fDqcv.jpg怎麼在網路上看到這張圖 結果去好幾家全家都沒有巧克力...,0.0,中性
居然不會太甜嗎? 還以為泰奶都會超甜,0.0,中性
跟起司蛋糕比起來 誰比較好吃,0.0,中性
全家這次很奶 所以感覺比較不甜 但也比較不泰奶XD起司蛋糕入口會驚艷 泰奶就中規中矩,0.0,中性
"這次吃綜合的泰奶+起司,吃到後面會有木瓜味(?",0.0,中性
起司蛋糕無敵,0.5,正向
起司超好吃,0.75,正向
起司蛋糕單吃超好吃,0.75,正向
"https://i.ibb.co/N2M0c9GP/1.jpg起司蛋糕+泰奶,略甜",0.25,正向
看到有人說超甜耶 到底?!也有人說像立頓奶茶 7的我很喜歡!哈哈 上面擠起來也很像木瓜牛奶口味,0.35,正向
泰奶就是要很甜啊!,0.1,中性
"根本不像泰奶,一入口就是木瓜牛奶味",-0.35,負向
"覺得這次茶味很重,有看到介紹說用手標",0.35,正向
泰奶味不重,-0.15,中性
立頓奶茶味太讓人出戲了,-0.35,負向
總之就算不喜歡泰奶 也有很棒的起司蛋糕可以吃,0.45,正向
今天吃木瓜牛奶+泰奶 意外好吃,0.5,正向
最喜歡的起司回來了耶,0.45,正向
想吃木瓜+泰奶口味 好特別,0.25,正向
整體來說不難吃 第一口確實有點像立頓 尾韻像木瓜牛奶,0.25,正向
https://i.mopix.cc/7f1Z2O.jpg,0.0,中性
還行,0.2,中性
我覺得有點甜,-0.1,中性
"https://i.meee.com.tw/jGwAdfi.jpg泰奶起司蛋糕,頗甜但不會膩",0.35,正向
覺得不夠濃 是有泰奶香沒錯 但他口感還是太依賴糖起司比較好吃,-0.2,中性
https://i.mopix.cc/Jd0C0R.jpg,0.0,中性
全家這次的口味輸7...,-0.45,負向
這次的口味我覺得還不錯耶~~喜歡奶香偏重的口感,0.5,正向
"全家的顏色偏像木瓜牛奶欸XD記得之前小七的比較深,這次比較想吃起司蛋糕",0.0,中性
起司蛋糕好吃,0.7,正向
特價?? pass,-0.25,負向
"好想買,可惜跑了幾家都被搶完麵包",0.2,中性
軟爛麵包pass,-0.45,負向
啥? 好久沒買沙拉了 現在沒送一包醬?!,0.0,中性
"實體感受,9成的店面沒有芥末醬或是酸黃瓜醬,我家隔壁的永遠只有番茄醬跟關東煮醬",-0.3,負向
"大亨堡隨時取有賣一份40,所以加5元能多買一個麵包",0.15,中性
九成誇張了,0.0,中性
我這邊是永遠看不到甜辣醬,0.0,中性
我這邊只有甜辣醬,0.0,中性
我這邊什麼醬通通都沒有只有 熱狗 麵包,-0.25,負向
沒有醬的應該要跟店員討他們都藏在櫃檯,0.0,中性
熱狗都拿了 結果按不出優惠 還不能放回去 有夠不爽以後再也不碰這種熱食優惠了,-0.6,負向
其實優惠也才3塊還4塊錢而已==,0.0,中性
75有算特價嗎?,-0.1,中性
看了肚子好餓 確實很久沒吃這個了 明天去WG練完要來吃兩個 感謝分享,0.35,正向
好久沒吃大亨堡了,0.25,正向
看了某韓YTR發現熱狗夾冷凍蔥抓餅更好吃~,0.25,正向
75怎麼感覺正常價 現在熱狗單買都33了,0.0,中性
"昨天買了兩瓶,也覺得不錯喝,重點是第2件10元",0.55,正向
有人試過加氣泡水嗎?感覺會變成氣泡果茶,0.2,中性
nice!,0.5,正向
500ml一下就喝完了 有沒有大罐的==,0.25,正向
"很難得看到這種包裝出葡萄柚,而且比手搖便宜很多",0.45,正向
看完糖量又默默地放回架上,-0.35,負向
這款冰冷凍 結冰變冰沙才爽,0.5,正向
這款真的好喝 默默喝完,0.75,正向
"這瓶我前幾天也有喝,配鹹的東西可以解膩",0.55,正向
好喝~但喝著喝著有點波爾茶的相似感,0.55,正向
話說葡萄柚味真的不會苦嗎?,0.0,中性
葡萄柚讚的就是那苦味呀 不過這瓶不苦 是清爽果味 連喝3天配鹹食讚,0.75,正向
夏天喝水比較實在吧,-0.2,中性
可以拿來加冰塊試試,0.15,中性
這款好喝 配冰塊杯超讚,0.75,正向
比起來我還是比較喜歡富蘋熟成紅,-0.15,中性
顏色看起來好鮮豔XD,0.0,中性
綜合真的有木瓜牛奶感 很神奇,0.25,正向
和起司一起搭著吃還不錯!如果喜歡甜味的人 可能會愛單口味吧,0.45,正向
"本來覺得泰奶加起司蛋糕怪怪的,但吃過後發現意外好吃比泰奶或單一起司蛋糕吃起來,比較不甜,很神奇",0.65,正向
"剛吃完一個,泰奶完全是立頓奶茶味,不難吃,只是起司更優。",0.1,中性
綜合一起吃真的是木瓜牛奶味+1~,0.25,正向
笑鼠也太神奇..全家所謂泰奶實際是木瓜牛奶口味有創意XD,0.15,中性
推單起司蛋糕,0.45,正向
起司好吃太多了,0.55,正向
感謝分享!下次來買綜合口味,0.2,中性
沒想到居然是綜合比較不甜 看來可以去試一下,0.25,正向
等一下來去試綜合,0.2,中性
起司蛋糕口味真的好吃,0.7,正向
這個我給70分,0.25,正向
明天下大雨吃冰去,0.1,中性
我今天來吃吃看,0.0,中性
我覺得超像麥香奶茶的,0.15,中性
是立頓奶茶味,-0.1,中性
我吃是覺得奶味多一點 還可以~~到今天還有特價可以衝,0.25,正向
吃起來像木瓜牛奶,0.15,中性
吃起來不像泰奶比較像立頓奶茶,-0.1,中性
今天下班去吃吃看 雙口味的感覺好吃,0.3,正向
味道不差~ 如果搭牛奶或茶口味不知道如何,0.25,正向
"好吃,顏色跟味道都蠻像木瓜牛奶的。",0.65,正向
比較像立頓奶茶,-0.05,中性
不像泰奶,-0.1,中性
不錯吃~~味道偏奶香感,0.45,正向
立頓口味,-0.05,中性
今天再吃 單吃立頓奶茶 綜合搭起司=木瓜牛奶,0.15,中性
"覺得SOSO一般般,還是小7的泰奶合胃口,茶味明顯些",-0.15,中性
簽名檔咖啡店是哪家?,0.0,中性
"比較偏立頓奶茶口味,不難吃,但不夠泰有點失落。",0.1,中性
"泰奶跟起司的組合不錯,可以嘗試",0.45,正向
立頓奶茶+1,-0.05,中性
"泰奶跟起司的組合不錯,可以嘗試同推",0.45,正向
木瓜牛奶+1,0.1,中性
真的像立頓奶茶XD,0.0,中性
玉米鬚茶沒有咖啡因、利尿 夏天很適合喝,0.35,正向
沒有草土味很棒 以前我要喝都還加牛奶進去擋味道,0.55,正向
米米花超級好吃 吃完就叫我男友回來再買一組回來,0.85,正向
"我前幾天也買了,59特價可以買",0.25,正向
玉米鬚茶也可以去好市多買一大盒,0.0,中性
"欸我覺得好喝...有回購,特價還行",0.6,正向
謝謝分享 以前都只買韓國的後來就買不到 來試試看,0.2,中性
42一瓶還好吧現在好多飲料隨隨便便就4、50了,0.1,中性
"玉米鬚茶冰的不錯喝,常溫不推",0.25,正向
加纖維粉是可以幫助腸胃蠕動嗎還是?,0.0,中性
還蠻好喝的,0.45,正向
